ds,yearly
2018-11-25,0.9076476171964086
2018-12-02,0.7666903694253419
2018-12-09,0.6429714049968018
2018-12-16,0.5397122403038426
2018-12-23,0.42695637115298
2018-12-30,0.30484987503651073
2019-01-06,0.2141742860828896
2019-01-13,0.18502884341069153
2019-01-20,0.19388761051018447
2019-01-27,0.18584559118809724
2019-02-03,0.13484238643183824
2019-02-10,0.06842905544256013
2019-02-17,0.030662502848743656
2019-02-24,0.03301870503936787
2019-03-03,0.051978575570396916
2019-03-10,0.06726081541010455
2019-03-17,0.0842432720723735
2019-03-24,0.1120966205370561
2019-03-31,0.13400189445978544
2019-04-07,0.11829192725082116
2019-04-14,0.06196593030800462
2019-04-21,0.008383181937166386
2019-04-28,0.008579099495622772
2019-05-05,0.06817743136222863
2019-05-12,0.14474161425281354
2019-05-19,0.20021878845324637
2019-05-26,0.24404638465476824
2019-06-02,0.31314014634313797
2019-06-09,0.4140523214843507
2019-06-16,0.5010129957231727
2019-06-23,0.5196900846035329
2019-06-30,0.4649172302138431
2019-07-07,0.3834814010624135
2019-07-14,0.3209276530790074
2019-07-21,0.278171450595902
2019-07-28,0.22690841255728345
2019-08-04,0.15714973931199544
2019-08-11,0.09341208297095449
2019-08-18,0.06233241047327067
2019-08-25,0.05958862396786239
2019-09-01,0.06177003448460672
2019-09-08,0.0644835063714897
2019-09-15,0.09019470803946994
2019-09-22,0.1513177677369908
2019-09-29,0.2204834714121593
2019-10-06,0.25796345470367416
2019-10-13,0.27080732199515506
2019-10-20,0.3256462018005471
2019-10-27,0.48321237433610575
2019-11-03,0.7194577851104627
2019-11-10,0.9260930328495133
2019-11-17,1.0
2019-11-24,0.930094851842822
2019-12-01,0.7917899663081663
2019-12-08,0.6628348792698099
2019-12-15,0.558080745416601
2019-12-22,0.44847223030201194
2019-12-29,0.32576424713126584
2020-01-05,0.22611436111399144
2020-01-12,0.18604212612235022
2020-01-19,0.192006924226047
2020-01-26,0.1904292432980889
2020-02-02,0.14642820173378948
2020-02-09,0.07923011773135277
2020-02-16,0.03418524025264784
2020-02-23,0.030493735113647162
2020-03-01,0.04861145189306625
2020-03-08,0.06483364562481668
2020-03-15,0.08043582517945637
2020-03-22,0.10667364717098206
2020-03-29,0.13205442800802666
2020-04-05,0.12465324496816153
2020-04-12,0.07352252200392362
2020-04-19,0.015112231039257235
2020-04-26,0.003538649768844333
2020-05-03,0.05474990631158498
2020-05-10,0.1320383979725739
2020-05-17,0.19209711316295405
2020-05-24,0.23535591059711738
2020-05-31,0.2979039317128723
2020-06-07,0.39523523763805074
2020-06-14,0.48932869282086167
2020-06-21,0.5224626822315152
2020-06-28,0.4783609504372399
2020-07-05,0.3974751901495088
2020-07-12,0.3300371579530981
2020-07-19,0.2855972438094546
2020-07-26,0.23764800149659315
2020-08-02,0.1701687161071454
2020-08-09,0.1028539071912126
2020-08-16,0.06522549706703003
2020-08-23,0.059090415159836956
2020-08-30,0.061671257347086145
2020-09-06,0.06310910872637572
2020-09-13,0.08288650130954428
2020-09-20,0.13853646713654424
2020-09-27,0.20961440346250693
2020-10-04,0.2542187701586088
2020-10-11,0.26781531704262107
2020-10-18,0.3092840922798241
2020-10-25,0.4472029525470097
2020-11-01,0.6757374786832112
2020-11-08,0.8968513732466319
2020-11-15,0.9984988789251086
2020-11-22,0.9503637281691683
2020-11-29,0.817385444173205
2020-12-06,0.6836018738762065
2020-12-13,0.5762225903295382
2020-12-20,0.4694269604680369
2020-12-27,0.34741047687084364
2021-01-03,0.2401091814635509
2021-01-10,0.18864723021789312
